symptoms_text,disease
"I’ve been experiencing itching,  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  nodal_skin_eruptions.",Fungal infection
"I’ve been experiencing  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  nodal_skin_eruptions.",Fungal infection
"I’ve been experiencing itching,  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing  continuous_sneezing,  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  chills.",Allergy
"I’ve been experiencing  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  chills.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting and  cough.",GERD
"I’ve been experiencing  acidity,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  cough and  chest_pain.",GERD
